Metric.Name,Description,Data.Location
RdDensCatRp100,Density of roads (2010 Census Tiger Lines) within catchment and within a 100-m buffer of NHD stream lines (km/square km),"RoadDensityRipBuf100_(RegionID).csv, RoadDensityRipBuf100_(StateID).csv"
RdDensWsRp100,Density of roads (2010 Census Tiger Lines) within watershed and within a 100-m buffer of NHD stream lines (km/square km),"RoadDensityRipBuf100_(RegionID).csv, RoadDensityRipBuf100_(StateID).csv"
RdCrsCat,Density of roads-stream intersections (2010 Census Tiger Lines-NHD stream lines) within catchment (crossings/square km),"RoadStreamCrossings_(RegionID).csv, RoadStreamCrossings_(StateID).csv"
RdCrsWs,Density of roads-stream intersections (2010 Census Tiger Lines-NHD stream lines) within watershed (crossings/square km),"RoadStreamCrossings_(RegionID).csv, RoadStreamCrossings_(StateID).csv"
RdCrsSlpWtdCat,Density of roads-stream intersections (2010 Census Tiger Lines-NHD stream lines) multiplied by NHDPlusV21 slope within catchment (crossings*slope/square km),"RoadStreamCrossings_(RegionID).csv, RoadStreamCrossings_(StateID).csv"
RdCrsSlpWtdWs,Density of roads-stream intersections (2010 Census Tiger Lines-NHD stream lines) multiplied by NHDPlusV21 slope within watershed (crossings*slope/square km),"RoadStreamCrossings_(RegionID).csv, RoadStreamCrossings_(StateID).csv"
RunoffCat,Mean runoff (mm) within catchment,"Runoff_(RegionID).csv, Runoff_(StateID).csv"
RunoffWs,Mean runoff (mm) within watershed,"Runoff_(RegionID).csv, Runoff_(StateID).csv"
Pestic97Cat,Mean pesticide use (kg/km2) in yr. 1997 within catchment,"Pesticides97_(RegionID).csv, Pesticides97_(StateID).csv"
Pestic97Ws,Mean pesticide use (kg/km2) in yr. 1997 within watershed,"Pesticides97_(RegionID).csv, Pesticides97_(StateID).csv"
BFICat,"Baseflow is the component of streamflow that can be attributed to ground-water discharge into streams. The Baseflow Index (BFI) is the ratio of baseflow to total flow, expressed as a percentage, within catchment.","BFI_(RegionID).csv, BFI_(StateID).csv"
BFIWs,"Baseflow is the component of streamflow that can be attributed to ground-water discharge into streams. The Baseflow Index (BFI) is the ratio of baseflow to total flow, expressed as a percentage, within watershed.","BFI_(RegionID).csv, BFI_(StateID).csv"
NH4_2008Cat,"Annual gradient map of precipitation-weighted mean deposition for ammonium ion concentration wet deposition for 2008 in kg of NH4/ha/yr, within catchment","NADP_(RegionID).csv, NADP_(StateID).csv"
NH4_2008Ws,"Annual gradient map of precipitation-weighted mean deposition for ammonium ion concentration wet deposition for 2008 in kg of NH4/ha/yr, within watershed","NADP_(RegionID).csv, NADP_(StateID).csv"
NO3_2008Cat,"Annual gradient map of precipitation-weighted mean deposition for nitrate ion concentration wet deposition for 2008 in kg of NO3/ha/yr, within catchment","NADP_(RegionID).csv, NADP_(StateID).csv"
NO3_2008Ws,"Annual gradient map of precipitation-weighted mean deposition for nitrate ion concentration wet deposition for 2008 in kg of NO3/ha/yr, within watershed","NADP_(RegionID).csv,NADP_(StateID).csv"
InorgNWetDep_2008Cat,"Annual gradient map of precipitation-weighted mean deposition for inorganic nitrogen wet deposition from nitrate and ammonium for 2008 in kg of N/ha/yr, within catchment","NADP_(RegionID).csv, NADP_(StateID).csv"
InorgNWetDep_2008Ws,"Annual gradient map of precipitation-weighted mean deposition for inorganic nitrogen wet deposition from nitrate and ammonium for 2008 in kg of N/ha/yr, within watershed","NADP_(RegionID).csv, NADP_(StateID).csv"
SN_2008Cat,"Annual gradient map of precipitation-weighted mean deposition for average sulfur & nitrogen wet deposition for 2008 in kg of S+N/ha/yr, within catchment","NADP_(RegionID).csv, NADP_(StateID).csv"
SN_2008Ws,"Annual gradient map of precipitation-weighted mean deposition for average sulfur & nitrogen wet deposition for 2008 in kg of S+N/ha/yr, within watershed","NADP_(RegionID).csv,NADP_(StateID).csv"
KffactCat,"Mean soil erodibility (Kf) factor (unitless) of soils within catchment. The Kf factor is used in the Universal Soil Loss Equation (USLE) and represents a relative index of susceptibility of bare, cultivated soil to particle detachment and transport by rainfall.","Kffact_(RegionID).csv, Kffact_(StateID).csv"
KffactWs,"Mean soil erodibility (Kf) factor (unitless) of soils within watershed. The Kf factor is used in the Universal Soil Loss Equation (USLE) and represents a relative index of susceptibility of bare, cultivated soil to particle detachment and transport by rainfall.","Kffact_(RegionID).csv, Kffact_(StateID).csv"
AgKffactCat,"Mean soil erodibility (Kf) factor (unitless) of soils within catchment on agricultural land. The Kf factor is used in the Universal Soil Loss Equation (USLE) and represents a relative index of susceptibility of bare, cultivated soil to particle detachment and transport by rainfall.","Kffact_(RegionID).csv, Kffact_(StateID).csv"
AgKffactWs,"Mean soil erodibility (Kf) factor (unitless) of soils within watershed on agricultural land. The Kf factor is used in the Universal Soil Loss Equation (USLE) and represents a relative index of susceptibility of bare, cultivated soil to particle detachment and transport by rainfall.","Kffact_(RegionID).csv, Kffact_(StateID).csv"
Precip8110Cat,PRISM climate data - 30-year normal mean precipitation (mm): Annual period: 1981-2010 within the catchment,"PRISM_1981_2010_(RegionID).csv, PRISM_1981_2010_(StateID).csv"
Precip8110Ws,PRISM climate data - 30-year normal mean precipitation (mm): Annual period: 1981-2010 within the watershed,"PRISM_1981_2010_(RegionID).csv, PRISM_1981_2010_(StateID).csv"
Tmin8110Cat,PRISM climate data - 30-year normal minimum temperature (°C): Annual period: 1981-2010 within the catchment,"PRISM_1981_2010_(RegionID).csv, PRISM_1981_2010_(StateID).csv"
Tmin8110Ws,PRISM climate data - 30-year normal minimum temperature (°C): Annual period: 1981-2010 within the watershed,"PRISM_1981_2010_(RegionID).csv, PRISM_1981_2010_(StateID).csv"
Tmean8110Cat,PRISM climate data - 30-year normal mean temperature (°C): Annual period: 1981-2010 within the catchment,"PRISM_1981_2010_(RegionID).csv, PRISM_1981_2010_(StateID).csv"
Tmean8110Ws,PRISM climate data - 30-year normal mean temperature (°C): Annual period: 1981-2010 within the watershed,"PRISM_1981_2010_(RegionID).csv, PRISM_1981_2010_(StateID).csv"
Tmax8110Cat,PRISM climate data - 30-year normal maximum temperature (°C): Annual period: 1981-2010 within the catchment,"PRISM_1981_2010_(RegionID).csv, PRISM_1981_2010_(StateID).csv"
Tmax8110Ws,PRISM climate data - 30-year normal maximum temperature (°C): Annual period: 1981-2010 within the watershed,"PRISM_1981_2010_(RegionID).csv, PRISM_1981_2010_(StateID).csv"
NABD_DensCat,Density of georeferenced dams within catchment (dams/ square km) based on the National Anthropogenic Barrier Dataset (https://www.sciencebase.gov/catalog/item/56a7f9dce4b0b28f1184dabd),"NABD_(RegionID).csv, NABD_(StateID).csv"
NABD_DensWs,Density of georeferenced dams within watershed (dams/ square km) based on the National Anthropogenic Barrier Dataset (https://www.sciencebase.gov/catalog/item/56a7f9dce4b0b28f1184dabd),"NABD_(RegionID).csv, NABD_(StateID).csv"
NABD_NrmStorCat,Normal (most common) volume of all reservoirs (NORM_STORA in NID) per unit area of catchment (cubic meters/square km) based on the National Anthropogenic Barrier Dataset (https://www.sciencebase.gov/catalog/item/56a7f9dce4b0b28f1184dabd),"NABD_(RegionID).csv, NABD_(StateID).csv"
NABD_NrmStorWs,Normal (most common) volume of all reservoirs (NORM_STORA in NID) per unit area of watershed (cubic meters/square km) based on the National Anthropogenic Barrier Dataset (https://www.sciencebase.gov/catalog/item/56a7f9dce4b0b28f1184dabd),"NABD_(RegionID).csv, NABD_(StateID).csv"
NABD_NIDStorCat,Total possible volume of all reservoirs (NID_STORA in NID) per unit area of catchment (cubic meters/square km) based on the National Anthropogenic Barrier Dataset (https://www.sciencebase.gov/catalog/item/56a7f9dce4b0b28f1184dabd),"NABD_(RegionID).csv, NABD_(StateID).csv"
NABD_NIDStorWs,Total possible volume of all reservoirs (NID_STORA in NID) per unit area of watershed (cubic meters/square km) based on the National Anthropogenic Barrier Dataset (https://www.sciencebase.gov/catalog/item/56a7f9dce4b0b28f1184dabd),"NABD_(RegionID).csv, NABD_(StateID).csv"
PctUrbHi2011Cat,"% of catchment area classified as developed, high-intensity land use (NLCD 2011 class 24)","NLCD2011_(RegionID).csv, NLCD2011_(StateID).csv"
PctUrbHi2011Ws,"% of watershed area classified as developed, high-intensity land use (NLCD 2011 class 24)","NLCD2011_(RegionID).csv, NLCD2011_(StateID).csv"
PctUrbHi2011CatRp100,"% of catchment area classified as developed, high-intensity land use (NLCD 2011 class 24) within a 100-m buffer of NHD streams","NLCD2011RipBuf100_(RegionID).csv, NLCD2011RipBuf100_(StateID).csv"
PctUrbHi2011WsRp100,"% of watershed area classified as developed, high-intensity land use (NLCD 2011 class 24) within a 100-m buffer of NHD streams","NLCD2011RipBuf100_(RegionID).csv, NLCD2011RipBuf100_(StateID).csv"
PctUrbMd2011Cat,"% of catchment area classified as developed, medium-intensity land use (NLCD 2011 class 23)","NLCD2011_(RegionID).csv, NLCD2011_(StateID).csv"
PctUrbMd2011Ws,"% of watershed area classified as developed, medium-intensity land use (NLCD 2011 class 23)","NLCD2011_(RegionID).csv, NLCD2011_(StateID).csv"
PctUrbMd2011CatRp100,"% of catchment area classified as developed, medium-intensity land use (NLCD 2011 class 23) within a 100-m buffer of NHD streams","NLCD2011RipBuf100_(RegionID).csv, NLCD2011RipBuf100_(StateID).csv"
PctUrbMd2011WsRp100,"% of watershed area classified as developed, medium-intensity land use (NLCD 2011 class 23) within a 100-m buffer of NHD streams","NLCD2011RipBuf100_(RegionID).csv, NLCD2011RipBuf100_(StateID).csv"
PctUrbLo2011Cat,"% of catchment area classified as developed, low-intensity land use (NLCD 2011 class 22)","NLCD2011_(RegionID).csv, NLCD2011_(StateID).csv"
PctUrbLo2011Ws,"% of watershed area classified as developed, low-intensity land use (NLCD 2011 class 22)","NLCD2011_(RegionID).csv, NLCD2011_(StateID).csv"
PctUrbLo2011CatRp100,"% of catchment area classified as developed, low-intensity land use (NLCD 2011 class 22) within a 100-m buffer of NHD streams","NLCD2011RipBuf100_(RegionID).csv, NLCD2011RipBuf100_(StateID).csv"
PctUrbLo2011WsRp100,"% of watershed area classified as developed, low-intensity land use (NLCD 2011 class 22) within a 100-m buffer of NHD streams","NLCD2011RipBuf100_(RegionID).csv, NLCD2011RipBuf100_(StateID).csv"
PctUrbOp2011Cat,"% of catchment area classified as developed, open space land use (NLCD 2011 class 21)","NLCD2011_(RegionID).csv, NLCD2011_(StateID).csv"
PctUrbOp2011Ws,"% of watershed area classified as developed, open space land use (NLCD 2011 class 21)","NLCD2011_(RegionID).csv, NLCD2011_(StateID).csv"
PctUrbOp2011CatRp100,"% of catchment area classified as developed, open space land use (NLCD 2011 class 21) within a 100-m buffer of NHD streams","NLCD2011RipBuf100_(RegionID).csv, NLCD2011RipBuf100_(StateID).csv"
PctUrbOp2011WsRp100,"% of watershed area classified as developed, open space land use (NLCD 2011 class 21) within a 100-m buffer of NHD streams","NLCD2011RipBuf100_(RegionID).csv, NLCD2011RipBuf100_(StateID).csv"
PctCrop2011Cat,% of catchment area classified as crop land use (NLCD 2011 class 82),"NLCD2011_(RegionID).csv, NLCD2011_(StateID).csv"
PctCrop2011Ws,% of watershed area classified as crop land use (NLCD 2011 class 82),"NLCD2011_(RegionID).csv, NLCD2011_(StateID).csv"
PctCrop2011CatRp100,% of catchment area classified as crop land use (NLCD 2011 class 82) within a 100-m buffer of NHD streams,"NLCD2011RipBuf100_(RegionID).csv, NLCD2011RipBuf100_(StateID).csv"
PctCrop2011WsRp100,% of watershed area classified as crop land use (NLCD 2011 class 82) within a 100-m buffer of NHD streams,"NLCD2011RipBuf100_(RegionID).csv, NLCD2011RipBuf100_(StateID).csv"
PctHay2011Cat,% of catchment area classified as hay land use (NLCD 2011 class 81),"NLCD2011_(RegionID).csv, NLCD2011_(StateID).csv"
PctHay2011Ws,% of watershed area classified as hay land use (NLCD 2011 class 81),"NLCD2011_(RegionID).csv, NLCD2011_(StateID).csv"
PctHay2011CatRp100,% of catchment area classified as hay land use (NLCD 2011 class 81) within a 100-m buffer of NHD streams,"NLCD2011RipBuf100_(RegionID).csv, NLCD2011RipBuf100_(StateID).csv"
PctHay2011WsRp100,% of watershed area classified as hay land use (NLCD 2011 class 81) within a 100-m buffer of NHD streams,"NLCD2011RipBuf100_(RegionID).csv, NLCD2011RipBuf100_(StateID).csv"
PctDecid2011Cat,% of catchment area classified as deciduous forest land cover (NLCD 2011 class 41),"NLCD2011_(RegionID).csv, NLCD2011_(StateID).csv"
PctDecid2011Ws,% of watershed area classified as deciduous forest land cover (NLCD 2011 class 41),"NLCD2011_(RegionID).csv, NLCD2011_(StateID).csv"
PctDecid2011CatRp100,% of catchment area classified as deciduous forest land cover (NLCD 2011 class 41) within a 100-m buffer of NHD streams,"NLCD2011RipBuf100_(RegionID).csv, NLCD2011RipBuf100_(StateID).csv"
PctDecid2011WsRp100,% of watershed area classified as deciduous forest land cover (NLCD 2011 class 41) within a 100-m buffer of NHD streams,"NLCD2011RipBuf100_(RegionID).csv, NLCD2011RipBuf100_(StateID).csv"
PctConif2011Cat,% of catchment area classified as evergreen forest land cover (NLCD 2011 class 42),"NLCD2011_(RegionID).csv, NLCD2011_(StateID).csv"
PctConif2011Ws,% of watershed area classified as evergreen forest land cover (NLCD 2011 class 42),"NLCD2011_(RegionID).csv, NLCD2011_(StateID).csv"
PctConif2011CatRp100,% of catchment area classified as evergreen forest land cover (NLCD 2011 class 42) within a 100-m buffer of NHD streams,"NLCD2011RipBuf100_(RegionID).csv, NLCD2011RipBuf100_(StateID).csv"
PctConif2011WsRp100,% of watershed area classified as evergreen forest land cover (NLCD 2011 class 42) within a 100-m buffer of NHD streams,"NLCD2011RipBuf100_(RegionID).csv, NLCD2011RipBuf100_(StateID).csv"
PctMxFst2011Cat,% of catchment area classified as mixed deciduous/evergreen forest land cover (NLCD 2011 class 43),"NLCD2011_(RegionID).csv, NLCD2011_(StateID).csv"
PctMxFst2011Ws,% of watershed area classified as mixed deciduous/evergreen forest land cover (NLCD 2011 class 43),"NLCD2011_(RegionID).csv, NLCD2011_(StateID).csv"
PctMxFst2011CatRp100,% of catchment area classified as mixed deciduous/evergreen forest land cover (NLCD 2011 class 43) within a 100-m buffer of NHD streams,"NLCD2011RipBuf100_(RegionID).csv, NLCD2011RipBuf100_(StateID).csv"
PctMxFst2011WsRp100,% of watershed area classified as mixed deciduous/evergreen forest land cover (NLCD 2011 class 43) within a 100-m buffer of NHD streams,"NLCD2011RipBuf100_(RegionID).csv, NLCD2011RipBuf100_(StateID).csv"
PctBl2011Cat,% of catchment area classified as barren land cover (NLCD 2011 class 31),"NLCD2011_(RegionID).csv, NLCD2011_(StateID).csv"
PctBl2011Ws,% of watershed area classified as barren land cover (NLCD 2011 class 31),"NLCD2011_(RegionID).csv, NLCD2011_(StateID).csv"
PctBl2011CatRp100,% of catchment area classified as barren land cover (NLCD 2011 class 31) within a 100-m buffer of NHD streams,"NLCD2011RipBuf100_(RegionID).csv, NLCD2011RipBuf100_(StateID).csv"
PctBl2011WsRp100,% of watershed area classified as barren land cover (NLCD 2011 class 31) within a 100-m buffer of NHD streams,"NLCD2011RipBuf100_(RegionID).csv, NLCD2011RipBuf100_(StateID).csv"
PctOw2011Cat,% of catchment area classified as open water land cover (NLCD 2011 class 11),"NLCD2011_(RegionID).csv, NLCD2011_(StateID).csv"
PctOw2011Ws,% of watershed area classified as open water land cover (NLCD 2011 class 11),"NLCD2011_(RegionID).csv, NLCD2011_(StateID).csv"
PctOw2011CatRp100,% of catchment area classified as open water land cover (NLCD 2011 class 11) within a 100-m buffer of NHD streams,"NLCD2011RipBuf100_(RegionID).csv, NLCD2011RipBuf100_(StateID).csv"
PctOw2011WsRp100,% of watershed area classified as open water land cover (NLCD 2011 class 11) within a 100-m buffer of NHD streams,"NLCD2011RipBuf100_(RegionID).csv, NLCD2011RipBuf100_(StateID).csv"
PctIce2011Cat,% of catchment area classified as ice/snow land cover (NLCD 2011 class 12),"NLCD2011_(RegionID).csv, NLCD2011_(StateID).csv"
PctIce2011Ws,% of watershed area classified as ice/snow land cover (NLCD 2011 class 12),"NLCD2011_(RegionID).csv, NLCD2011_(StateID).csv"
PctIce2011CatRp100,% of catchment area classified as ice/snow land cover (NLCD 2011 class 12) within a 100-m buffer of NHD streams,"NLCD2011RipBuf100_(RegionID).csv, NLCD2011RipBuf100_(StateID).csv"
PctIce2011WsRp100,% of watershed area classified as ice/snow land cover (NLCD 2011 class 12) within a 100-m buffer of NHD streams,"NLCD2011RipBuf100_(RegionID).csv, NLCD2011RipBuf100_(StateID).csv"
PctHbWet2011Cat,% of catchment area classified as herbaceous wetland land cover (NLCD 2011 class 95),"NLCD2011_(RegionID).csv, NLCD2011_(StateID).csv"
PctHbWet2011Ws,% of watershed area classified as herbaceous wetland land cover (NLCD 2011 class 95),"NLCD2011_(RegionID).csv, NLCD2011_(StateID).csv"
PctHbWet2011CatRp100,% of catchment area classified as herbaceous wetland land cover (NLCD 2011 class 95) within a 100-m buffer of NHD streams,"NLCD2011RipBuf100_(RegionID).csv, NLCD2011RipBuf100_(StateID).csv"
PctHbWet2011WsRp100,% of watershed area classified as herbaceous wetland land cover (NLCD 2011 class 95) within a 100-m buffer of NHD streams,"NLCD2011RipBuf100_(RegionID).csv, NLCD2011RipBuf100_(StateID).csv"
PctWdWet2011Cat,% of catchment area classified as woody wetland land cover (NLCD 2011 class 90),"NLCD2011_(RegionID).csv, NLCD2011_(StateID).csv"
PctWdWet2011Ws,% of watershed area classified as woody wetland land cover (NLCD 2011 class 90),"NLCD2011_(RegionID).csv, NLCD2011_(StateID).csv"
PctWdWet2011CatRp100,% of catchment area classified as woody wetland land cover (NLCD 2011 class 90) within a 100-m buffer of NHD streams,"NLCD2011RipBuf100_(RegionID).csv, NLCD2011RipBuf100_(StateID).csv"
PctWdWet2011WsRp100,% of watershed area classified as woody wetland land cover (NLCD 2011 class 90) within a 100-m buffer of NHD streams,"NLCD2011RipBuf100_(RegionID).csv, NLCD2011RipBuf100_(StateID).csv"
PctShrb2011Cat,% of catchment area classified as shrub/scrub land cover (NLCD 2011 class 52),"NLCD2011_(RegionID).csv, NLCD2011_(StateID).csv"
PctShrb2011Ws,% of watershed area classified as shrub/scrub land cover (NLCD 2011 class 52),"NLCD2011_(RegionID).csv, NLCD2011_(StateID).csv"
PctShrb2011CatRp100,% of catchment area classified as shrub/scrub land cover (NLCD 2011 class 52) within a 100-m buffer of NHD streams,"NLCD2011RipBuf100_(RegionID).csv, NLCD2011RipBuf100_(StateID).csv"
PctShrb2011WsRp100,% of watershed area classified as shrub/scrub land cover (NLCD 2011 class 52) within a 100-m buffer of NHD streams,"NLCD2011RipBuf100_(RegionID).csv, NLCD2011RipBuf100_(StateID).csv"
PctGrs2011Cat,% of catchment area classified as grassland/herbaceous land cover (NLCD 2011 class 71),"NLCD2011_(RegionID).csv, NLCD2011_(StateID).csv"
PctGrs2011Ws,% of watershed area classified as grassland/herbaceous land cover (NLCD 2011 class 71),"NLCD2011_(RegionID).csv, NLCD2011_(StateID).csv"
PctGrs2011CatRp100,% of catchment area classified as grassland/herbaceous land cover (NLCD 2011 class 71) within a 100-m buffer of NHD streams,"NLCD2011RipBuf100_(RegionID).csv, NLCD2011RipBuf100_(StateID).csv"
PctGrs2011WsRp100,% of watershed area classified as grassland/herbaceous land cover (NLCD 2011 class 71) within a 100-m buffer of NHD streams,"NLCD2011RipBuf100_(RegionID).csv, NLCD2011RipBuf100_(StateID).csv"
Al2O3Cat,Mean % of lithological aluminum oxide (Al2O3) content in surface or near surface geology within catchment,"GeoChemPhys1_(RegionID).csv, GeoChemPhys1_(StateID).csv"
Al2O3Ws,Mean % of lithological aluminum oxide (Al2O3) content in surface or near surface geology within watershed,"GeoChemPhys1_(RegionID).csv, GeoChemPhys1_(StateID).csv"
CaOCat,Mean % of lithological calcium oxide (CaO) content in surface or near surface geology within catchment,"GeoChemPhys1_(RegionID).csv, GeoChemPhys1_(StateID).csv"
CaOWs,Mean % of lithological calcium oxide (CaO) content in surface or near surface geology within watershed,"GeoChemPhys1_(RegionID).csv, GeoChemPhys1_(StateID).csv"
Fe2O3Cat,Mean % of lithological ferric oxide (Fe2O3) content in surface or near surface geology within catchment,"GeoChemPhys1_(RegionID).csv, GeoChemPhys1_(StateID).csv"
Fe2O3Ws,Mean % of lithological ferric oxide (Fe2O3) content in surface or near surface geology within watershed,"GeoChemPhys1_(RegionID).csv, GeoChemPhys1_(StateID).csv"
K2OCat,Mean % of lithological potassium oxide (K2O) content in surface or near surface geology within catchment,"GeoChemPhys1_(RegionID).csv, GeoChemPhys1_(StateID).csv"
K2OWs,Mean % of lithological potassium oxide (K2O) content in surface or near surface geology within watershed,"GeoChemPhys1_(RegionID).csv, GeoChemPhys1_(StateID).csv"
MgOCat,Mean % of lithological magnesium oxide (MgO) content in surface or near surface geology within catchment,"GeoChemPhys1_(RegionID).csv, GeoChemPhys1_(StateID).csv"
MgOWs,Mean % of lithological magnesium oxide (MgO) content in surface or near surface geology within watershed,"GeoChemPhys1_(RegionID).csv, GeoChemPhys1_(StateID).csv"
Na2OCat,Mean % of lithological sodium oxide (Na2O) content in surface or near surface geology within catchment,"GeoChemPhys1_(RegionID).csv, GeoChemPhys1_(StateID).csv"
Na2OWs,Mean % of lithological sodium oxide (Na2O) content in surface or near surface geology within watershed,"GeoChemPhys1_(RegionID).csv, GeoChemPhys1_(StateID).csv"
P2O5Cat,Mean % of lithological phosphorous oxide (P2O5) content in surface or near surface geology within catchment,"GeoChemPhys1_(RegionID).csv, GeoChemPhys1_(StateID).csv"
P2O5Ws,Mean % of lithological phosphorous oxide (P2O5) content in surface or near surface geology within watershed,"GeoChemPhys1_(RegionID).csv, GeoChemPhys1_(StateID).csv"
SCat,Mean % of lithological sulfur (S) content in surface or near surface geology within catchment,"GeoChemPhys1_(RegionID).csv, GeoChemPhys1_(StateID).csv"
SWs,Mean % of lithological sulfur (S) content in surface or near surface geology within watershed,"GeoChemPhys1_(RegionID).csv, GeoChemPhys1_(StateID).csv"
SiO2Cat,Mean % of lithological silicon dioxide (SiO2) content in surface or near surface geology within catchment,"GeoChemPhys1_(RegionID).csv, GeoChemPhys1_(StateID).csv"
SiO2Ws,Mean % of lithological silicon dioxide (SiO2) content in surface or near surface geology within watershed,"GeoChemPhys1_(RegionID).csv, GeoChemPhys1_(StateID).csv"
NCat,Mean % of lithological nitrogen (N) content in surface or near surface geology within catchment,"GeoChemPhys2_(RegionID).csv, GeoChemPhys2_(StateID).csv"
NWs,Mean % of lithological nitrogen (N) content in surface or near surface geology within watershed,"GeoChemPhys2_(RegionID).csv, GeoChemPhys2_(StateID).csv"
HydrlCondCat,Mean lithological hydraulic conductivity (micrometers per second) content in surface or near surface geology within catchment,"GeoChemPhys3_(RegionID).csv, GeoChemPhys3_(StateID).csv"
HydrlCondWs,Mean lithological hydraulic conductivity (micrometers per second) content in surface or near surface geology within watershed,"GeoChemPhys3_(RegionID).csv, GeoChemPhys3_(StateID).csv"
CompStrgthCat,Mean lithological uniaxial compressive strength (megaPascals) content in surface or near surface geology within catchment,"GeoChemPhys4_(RegionID).csv, GeoChemPhys4_(StateID).csv"
CompStrgthWs,Mean lithological uniaxial compressive strength (megaPascals) content in surface or near surface geology within watershed,"GeoChemPhys4_(RegionID).csv, GeoChemPhys4_(StateID).csv"
CoalMineDensCat,Density of coal mines sites within catchment (mines/square km),"CoalMines_(RegionID).csv, CoalMines_(StateID).csv"
CoalMineDensWs,Density of coal mines sites within watershed (mines/square km),"CoalMines_(RegionID).csv, CoalMines_(StateID).csv"
FertCat,"Mean rate of synthetic nitrogen fertilizer application to agricultural land in kg N/ha/yr, within the catchment","AgriculturalNitrogen_(RegionID).csv, AgriculturalNitrogen_(StateID).csv"
FertWs,"Mean rate of synthetic nitrogen fertilizer application to agricultural land in kg N/ha/yr, within watershed","AgriculturalNitrogen_(RegionID).csv, AgriculturalNitrogen_(StateID).csv"
CBNFCat,"Mean rate of biological nitrogen fixation from the cultivation of crops in kg N/ha/yr, within catchment","AgriculturalNitrogen_(RegionID).csv, AgriculturalNitrogen_(StateID).csv"
CBNFWs,"Mean rate of biological nitrogen fixation from the cultivation of crops in kg N/ha/yr, within watershed","AgriculturalNitrogen_(RegionID).csv, AgriculturalNitrogen_(StateID).csv"
ManureCat,"Mean rate of manure application to agricultural land from confined animal feeding operations in kg N/ha/yr, within catchment","AgriculturalNitrogen_(RegionID).csv, AgriculturalNitrogen_(StateID).csv"
ManureWs,"Mean rate of manure application to agricultural land from confined animal feeding operations in kg N/ha/yr, within watershed","AgriculturalNitrogen_(RegionID).csv, AgriculturalNitrogen_(StateID).csv"
HUDen2010CatRp100,Mean housing unit density (housing units/square km) within catchment and within a 100-m buffer of NHD stream lines,"USCensus2010RipBuf100_(RegionID).csv, USCensus2010RipBuf100_(StateID).csv"
HUDen2010WsRp100,Mean housing unit density (housing units/square km) within watershed and within a 100-m buffer of NHD stream lines,"USCensus2010RipBuf100_(RegionID).csv, USCensus2010RipBuf100_(StateID).csv"
PctFire2000Cat,% Forest loss to fire (fire perimeter) for 2000 within catchment,"FirePerimeters_(RegionID).csv, FirePerimeters_(StateID).csv"
PctFire2000Ws,% Forest loss to fire (fire perimeter) for 2000 within watershed,"FirePerimeters_(RegionID).csv, FirePerimeters_(StateID).csv"
PctFire2001Cat,% Forest loss to fire (fire perimeter) for 2001 within catchment,"FirePerimeters_(RegionID).csv, FirePerimeters_(StateID).csv"
PctFire2001Ws,% Forest loss to fire (fire perimeter) for 2001 within watershed,"FirePerimeters_(RegionID).csv, FirePerimeters_(StateID).csv"
PctFire2002Cat,% Forest loss to fire (fire perimeter) for 2002 within catchment,"FirePerimeters_(RegionID).csv, FirePerimeters_(StateID).csv"
PctFire2002Ws,% Forest loss to fire (fire perimeter) for 2002 within watershed,"FirePerimeters_(RegionID).csv, FirePerimeters_(StateID).csv"
PctFire2003Cat,% Forest loss to fire (fire perimeter) for 2003 within catchment,"FirePerimeters_(RegionID).csv, FirePerimeters_(StateID).csv"
PctFire2003Ws,% Forest loss to fire (fire perimeter) for 2003 within watershed,"FirePerimeters_(RegionID).csv, FirePerimeters_(StateID).csv"
PctFire2004Cat,% Forest loss to fire (fire perimeter) for 2004 within catchment,"FirePerimeters_(RegionID).csv, FirePerimeters_(StateID).csv"
PctFire2004Ws,% Forest loss to fire (fire perimeter) for 2004 within watershed,"FirePerimeters_(RegionID).csv, FirePerimeters_(StateID).csv"
PctFire2005Cat,% Forest loss to fire (fire perimeter) for 2005 within catchment,"FirePerimeters_(RegionID).csv, FirePerimeters_(StateID).csv"
PctFire2005Ws,% Forest loss to fire (fire perimeter) for 2005 within watershed,"FirePerimeters_(RegionID).csv, FirePerimeters_(StateID).csv"
PctFire2006Cat,% Forest loss to fire (fire perimeter) for 2006 within catchment,"FirePerimeters_(RegionID).csv, FirePerimeters_(StateID).csv"
PctFire2006Ws,% Forest loss to fire (fire perimeter) for 2006 within watershed,"FirePerimeters_(RegionID).csv, FirePerimeters_(StateID).csv"
PctFire2007Cat,% Forest loss to fire (fire perimeter) for 2007 within catchment,"FirePerimeters_(RegionID).csv, FirePerimeters_(StateID).csv"
PctFire2007Ws,% Forest loss to fire (fire perimeter) for 2007 within watershed,"FirePerimeters_(RegionID).csv, FirePerimeters_(StateID).csv"
PctFire2008Cat,% Forest loss to fire (fire perimeter) for 2008 within catchment,"FirePerimeters_(RegionID).csv, FirePerimeters_(StateID).csv"
PctFire2008Ws,% Forest loss to fire (fire perimeter) for 2008 within watershed,"FirePerimeters_(RegionID).csv, FirePerimeters_(StateID).csv"
PctFire2009Cat,% Forest loss to fire (fire perimeter) for 2009 within catchment,"FirePerimeters_(RegionID).csv, FirePerimeters_(StateID).csv"
